test pred_cost tensor([[1.7217]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[0.6909]], device='cuda:0') label: tensor([[0.1000]], device='cuda:0')
test pred_cost tensor([[0.9749]], device='cuda:0') label: tensor([[0.4000]], device='cuda:0')
test pred_cost tensor([[1.3046]], device='cuda:0') label: tensor([[0.3000]], device='cuda:0')
test pred_cost tensor([[0.9834]], device='cuda:0') label: tensor([[0.5000]], device='cuda:0')
test pred_cost tensor([[0.9428]], device='cuda:0') label: tensor([[0.0100]], device='cuda:0')
test pred_cost tensor([[0.7085]], device='cuda:0') label: tensor([[0.0200]], device='cuda:0')
test pred_cost tensor([[0.7504]], device='cuda:0') label: tensor([[0.6000]], device='cuda:0')
test pred_cost tensor([[0.6857]], device='cuda:0') label: tensor([[0.7000]], device='cuda:0')
test pred_cost tensor([[0.5055]], device='cuda:0') label: tensor([[0.2000]], device='cuda:0')
test pred_cost tensor([[0.6266]], device='cuda:0') label: tensor([[0.1000]], device='cuda:0')
test pred_cost tensor([[0.6128]], device='cuda:0') label: tensor([[0.4000]], device='cuda:0')
test pred_cost tensor([[1.1699]], device='cuda:0') label: tensor([[0.3000]], device='cuda:0')
test pred_cost tensor([[0.6074]], device='cuda:0') label: tensor([[0.5000]], device='cuda:0')
test pred_cost tensor([[0.7274]], device='cuda:0') label: tensor([[0.0100]], device='cuda:0')
test pred_cost tensor([[1.0511]], device='cuda:0') label: tensor([[0.0200]], device='cuda:0')
test pred_cost tensor([[0.9989]], device='cuda:0') label: tensor([[0.6000]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.5829]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.5829]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.6944]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[0.5829]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.6944]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[0.5829]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.5914]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.5829]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[0.6944]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[0.7264]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[0.5826]], device='cuda:0') label: tensor([[9.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.6944]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[0.5829]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.7264]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.6944]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[0.5829]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.7264]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.6944]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[0.5829]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.7264]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[0.6409]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[1.0812]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[0.5907]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[0.5829]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[0.6944]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[0.7264]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[0.6770]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[2.4510]], device='cuda:0') label: tensor([[9.]], device='cuda:0')
test pred_cost tensor([[5.7333]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[2.7754]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[4.1565]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[2.5764]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[5.2801]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[5.0184]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
test pred_cost tensor([[2.9452]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[2.4510]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[5.0184]], device='cuda:0') label: tensor([[13.]], device='cuda:0')
test pred_cost tensor([[3.6066]], device='cuda:0') label: tensor([[14.]], device='cuda:0')
test pred_cost tensor([[4.2168]], device='cuda:0') label: tensor([[12.]], device='cuda:0')
test pred_cost tensor([[4.5061]], device='cuda:0') label: tensor([[15.]], device='cuda:0')
test pred_cost tensor([[2.4510]], device='cuda:0') label: tensor([[8.]], device='cuda:0')
test pred_cost tensor([[4.5061]], device='cuda:0') label: tensor([[11.]], device='cuda:0')
test pred_cost tensor([[4.1565]], device='cuda:0') label: tensor([[3.]], device='cuda:0')
test pred_cost tensor([[2.5764]], device='cuda:0') label: tensor([[5.]], device='cuda:0')
test pred_cost tensor([[5.2801]], device='cuda:0') label: tensor([[6.]], device='cuda:0')
test pred_cost tensor([[2.7754]], device='cuda:0') label: tensor([[4.]], device='cuda:0')
test pred_cost tensor([[2.6725]], device='cuda:0') label: tensor([[9.]], device='cuda:0')
test pred_cost tensor([[2.9452]], device='cuda:0') label: tensor([[1.]], device='cuda:0')
test pred_cost tensor([[2.5764]], device='cuda:0') label: tensor([[10.]], device='cuda:0')
test pred_cost tensor([[5.7333]], device='cuda:0') label: tensor([[2.]], device='cuda:0')
test pred_cost tensor([[5.0184]], device='cuda:0') label: tensor([[7.]], device='cuda:0')
